id,first_name,last_name,montly_salary,weight
807,Saidee,Grason,180880,67
808,Madelyn,Alldridge,648061,72
809,Justinn,McKall,134774,108
810,Rowena,MacGee,369079,72
811,Kat,Sier,187752,74
812,Gasper,Down,365547,107
813,Jaquelin,Onions,867964,84
814,Onfre,Rapo,170524,90
815,Luciana,Harsnep,757627,74
816,Harmony,Pollicote,410403,75
817,Theresita,Nowick,633246,66
818,Margo,Cowell,481293,89
819,Kerrin,Colmore,496565,108
820,Raoul,de Pinna,551538,81
821,Charleen,Swanton,529754,85
822,Haley,Sealove,705636,81
823,Martyn,Sproson,613801,101
824,Jamil,Ropcke,154121,96
825,Erick,Rivallant,810365,70
826,Benny,Longley,972853,67
827,Andris,Caltera,728216,99
828,Haley,Gamett,870102,76
829,Ellary,Titchmarsh,592875,90
830,Iris,Kempton,468000,94
831,Vinnie,Bedboro,358411,76
832,Kayle,Adamovitz,612044,77
833,Hersch,Rosenbaum,618635,106
834,Judah,Ruddom,920604,91
835,Rebeca,Speek,242509,61
836,Koressa,O'Shields,652941,80
837,Ivonne,Jager,279167,102
838,Dana,Northin,707342,67
839,Ermengarde,Hasselby,289201,88
840,Kendricks,Mapes,802182,101
841,Selma,Smithson,451994,110
842,Elsa,Westby,430281,81
843,Stevie,Labone,91539,104
844,Anna-maria,Lamburn,984862,65
845,Faunie,Swanborrow,729346,73
846,Raynor,Cousins,152034,94
847,Damita,North,307346,81
848,Xaviera,Breheny,283114,92
849,Mathias,Myner,708506,94
850,Joye,Daglish,736179,103
851,Kayla,Fredy,81685,96
852,Minna,Vegas,323143,110
853,Nickola,Walburn,921818,108
854,Hy,Ilyukhov,718988,83
855,Brian,Doggrell,135852,97
856,Temple,Bliss,942166,100
857,Bengt,Rosevear,268262,72
858,Jobey,Limeburn,646378,72
859,Vally,Choat,712875,63
860,Jenilee,Ockland,91271,107
861,Darrin,Yea,383669,95
862,Selina,Alan,208465,105
863,Caryl,Folder,508268,69
864,Waldemar,Nel,695655,76
865,Appolonia,McGaugie,415344,77
866,Tann,Cuell,205353,61
867,Waring,Moreland,923607,69
868,Dominik,Deverick,426187,65
869,Denise,Newvell,40954,90
870,Ashla,Wickstead,970302,90
871,Merry,Lively,251594,63
872,Brande,Curling,695686,93
873,Koo,Ivanyushkin,971540,96
874,Earvin,Vinnicombe,422510,61
875,Galvin,Clemente,843895,100
876,Kristal,Quarles,626007,81
877,Marieann,Powles,725890,109
878,Breanne,Darben,773130,80
879,Ravi,Morat,708803,80
880,Egor,Roebottom,998614,109
881,Sindee,Spurdens,959720,60
882,Maighdiln,Burgwyn,742780,107
883,Tiffany,Cota,539949,101
884,Julee,Starie,441967,106
885,Sheppard,Fraanchyonok,472988,61
886,Evy,Burton,621576,95
887,Mariana,Harp,493497,96
888,Corrie,Steer,456363,65
889,Meredithe,Grigoryov,153597,87
890,Ferne,Blinkhorn,500162,69
891,Franny,Exroll,376875,82
892,Florance,Ardling,711575,86
893,Drona,Yea,839827,104
894,Valaree,Purton,100214,88
895,Redd,Colledge,258637,85
896,Edd,Boocock,84642,77
897,Guenevere,Santer,928223,108
898,Ara,Blankett,451263,69
899,Andrei,Christian,459438,105
900,Oswald,Cutmere,52166,92
901,Carleton,Cornish,55031,61
902,Rorke,Elland,411125,80
903,Ilene,Jewel,615876,87
904,Camellia,Kunneke,88238,98
905,Annette,Boyer,602752,83
906,Pammy,Thornebarrow,261125,101
907,Grenville,Ennew,312453,87
908,Tansy,Putnam,533441,95
909,Terri-jo,Pottberry,984365,84
910,Roxie,Yates,273770,100
911,Margette,Falk,142353,80
912,Julianne,Coldman,519777,65
913,Rustin,Jimson,503944,73
914,Elene,Glyn,192340,61
915,Gates,Brambley,702443,70
916,Jeremiah,Brunesco,768174,96
917,Linnie,Kernermann,216159,60
918,Clayborn,Kunes,177172,76
919,Stephanie,Dannatt,70049,91
920,Gabbey,Issacov,751131,83
921,Sandy,Rhodef,613859,61
922,Chantal,Abrahmovici,412601,101
923,Mathe,Pennicott,61575,91
924,Les,Windaybank,118455,78
925,Garwin,Paolacci,949563,60
926,Glenna,MacLachlan,113992,86
927,Dal,Donaho,832376,98
928,Karlik,Eggleton,691341,106
929,El,Burness,881636,109
930,Armstrong,Bassill,961138,76
931,Terry,Breach,558030,61
932,Merrile,Snazle,394548,95
933,Deny,Gilliver,560623,72
934,Perceval,Wilmington,912239,107
935,Roman,McNeil,157367,91
936,Fraze,Shama,432080,65
937,Stacy,Dener,72903,91
938,Noemi,Flott,346485,82
939,Tiff,Jochen,648935,110
940,Mia,Buy,536702,103
941,Ardene,Fedder,503246,102
942,Meara,Ingrey,619466,105
943,Ram,Antoinet,508001,65
944,Carmine,Ishaki,611750,85
945,Thomasina,Loeber,553876,69
946,Benita,Goodale,295888,82
947,Tiler,Cosgrove,280451,67
948,Opaline,Zywicki,237941,71
949,Alfie,Gymblett,853748,103
950,Clarinda,Wiltshier,634226,107
951,Audry,Burrow,637130,93
952,Aggy,McMains,872702,103
953,Ulysses,Froggatt,145322,93
954,Ezekiel,Ruse,608993,67
955,Harley,Cooke,887011,60
956,Jean,Spriggen,962905,60
957,Kendre,Jouannisson,262418,81
958,Billie,Elener,17482,97
959,Cher,Tirkin,829706,90
960,Beitris,Scotts,578222,99
961,Agretha,Brockherst,891580,81
962,Kelsey,Jerams,841702,101
963,Abran,Clouston,844302,78
964,Gretel,Lingwood,493960,96
965,Vaughan,Leatherborrow,748284,63
966,Patrice,Cheel,322779,105
967,Mabel,Titcumb,779013,65
968,Atlanta,Potkins,64157,81
969,Shell,Beeby,482314,76
970,Beatrice,Pudge,104220,63
971,Hershel,Ashpole,579886,60
972,Alverta,Larciere,117229,103
973,Martha,Rippon,174080,69
974,Sloan,Rignold,130754,87
975,Camel,Baroche,343256,65
976,Lee,Yankeev,317993,80
977,Gallagher,Sambedge,917027,109
978,Dalia,Ody,167740,104
979,Tome,O'Lagene,920689,81
980,Camille,Gaudin,711583,88
981,Terrie,Knee,205146,71
982,Camella,Somner,863232,81
983,Humfrid,Bartosek,214204,101
984,Dean,Blodget,727030,84
985,Pepita,Golledge,839542,90
986,Jenda,Dionis,437247,110
987,Mendel,Itscovitz,182672,103
988,Rex,Guslon,838442,87
989,Jenda,Dawley,633106,87
990,Mick,Peers,46325,101
991,Kathye,Mathison,760116,83
992,Gladys,Divers,321176,79
993,Torey,Kloska,443711,63
994,Bernardo,Mold,372218,82
995,Rozella,Kasparski,200595,72
996,Maurine,Speer,644231,67
997,Quint,Thurgood,491389,63
998,Zerk,Skeggs,467761,106
999,Bria,Ramel,31760,100
1000,Edd,Espy,534649,73
